customer_id,age,occupation,dependents,monthly_income,monthly_expenses,monthly_debt_payment,monthly_savings,cash_savings,existing_investments,property_value,other_assets,total_assets,total_liabilities,net_worth,emergency_fund,insurance_coverage,credit_score,risk_tolerance,investment_experience,risk_score,financial_goal,goal_amount,current_goal_savings,goal_gap,time_horizon_years,preferred_investment,savings_rate,debt_to_income_ratio,risk_capacity_score,risk_willingness_score,target_risk_score,target_risk_category
C0020,24,Accountant,0,40576,13752,5396,21428,136804,707768,0,202685,1047257,116132,931125,105032,1208613,726,Moderate,Beginner,6.5,Wealth Creation,5483482,707768,4775714,11,Gold,52.81,13.3,93.2,52.0,74.66,Moderately Aggressive
C0021,23,Accountant,1,52509,21701,11443,19365,384334,228073,3982167,320818,4915392,1592542,3322850,149603,1172430,712,Moderate,Intermediate,6.7,Retirement,3723401,384334,3339067,5,Hybrid MF,36.88,21.79,75.4,55.0,66.22,Moderate
C0022,41,Government Employee,1,65343,30303,4685,30355,175281,1455109,0,472650,2103040,173805,1929235,148077,2207049,646,Conservative,Beginner,3.5,Wealth Creation,4430397,1264067,3166330,5,Bonds,46.45,7.17,88.0,12.0,53.8,Moderate
C0023,60,Doctor,1,129191,56181,23629,49381,897715,2759340,0,453198,4110253,641121,3469132,350752,0,777,Aggressive,Intermediate,9.9,Buy House,9060315,2230418,6829897,9,ETF,38.22,18.29,82.95,87.0,84.77,Aggressive
C0024,23,Designer,2,99588,67254,3875,28459,449835,2730438,6450178,122519,9752970,2405508,7347462,237909,2546989,697,Moderate,Beginner,5.5,Retirement,5888649,1461804,4426845,9,Gold,28.58,3.89,80.2,47.0,65.26,Moderate
C0025,41,Freelancer,0,108636,38824,6114,63698,638775,949949,0,204130,1792854,226539,1566315,183099,5555865,830,Conservative,Intermediate,3.5,Wealth Creation,1792969,464046,1328923,9,Bonds,58.63,5.63,94.8,20.0,61.14,Moderate
C0026,28,Sales Executive,1,45028,19030,9841,16157,150331,1132988,0,133882,1417201,233328,1183873,151643,0,775,Moderate,Intermediate,6.8,Buy House,4957302,1132988,3824314,7,Hybrid MF,35.88,21.86,80.95,52.0,67.92,Moderate
C0027,56,Freelancer,1,66318,30929,0,35389,364100,1863270,6041615,513054,8782039,2430802,6351237,67941,2750420,802,Conservative,Beginner,2.4,Wealth Creation,5528135,1283080,4245055,5,Bonds,53.36,0.0,86.75,12.0,53.11,Moderate
C0028,49,Government Employee,2,38660,17066,1919,19675,365580,755569,5560049,168686,6849884,1367019,5482865,100171,1698527,659,Moderate,Beginner,5.5,Retirement,9720845,755569,8965276,5,Bonds,50.89,4.96,87.8,47.0,69.44,Moderately Aggressive
C0029,59,Freelancer,4,93934,44007,13888,36039,348782,2152239,2774654,228475,5504150,892616,4611534,158387,1971889,805,Moderate,Intermediate,7.0,Child Education,2845532,996114,1849418,13,Equity MF,38.37,14.78,81.9,52.0,68.45,Moderately Aggressive
C0030,54,Designer,2,85547,39257,11912,34378,257465,391762,0,237436,886663,537406,349257,243618,3607132,634,Conservative,Advanced,3.9,Retirement,3102459,391762,2710697,11,PPF,40.19,13.92,79.85,23.0,54.27,Moderate
C0031,42,Accountant,1,62122,25155,6044,30923,649345,388526,1514775,387175,2939821,688481,2251340,69233,2583906,728,Aggressive,Beginner,9.4,Wealth Creation,7019355,649345,6370010,14,Stocks,49.78,9.73,94.45,87.0,91.1,Aggressive
C0032,51,Sales Executive,2,69225,36936,2211,30078,416288,341148,7123121,373407,8253964,74465,8179499,67921,3564014,668,Moderate,Advanced,7.6,Retirement,4265617,325922,3939695,8,Gold,43.45,3.19,93.3,63.0,79.67,Moderately Aggressive
C0033,48,Business Owner,2,141759,77445,18364,45950,1222058,3377679,7409943,931355,12941035,4290333,8650702,95118,0,727,Conservative,Beginner,3.7,Travel,1488128,426566,1061562,5,PPF,32.41,12.95,75.95,7.0,44.92,Moderately Conservative
C0034,55,Freelancer,2,50822,30774,6803,13245,135306,833808,5437244,381060,6787418,552258,6235160,153011,0,689,Moderate,Intermediate,7.0,Wealth Creation,2984426,202924,2781502,5,Equity MF,26.06,13.39,71.9,60.0,66.55,Moderate
C0035,54,Teacher,3,79246,56131,10279,12836,192437,277669,0,6506,476612,418649,57963,220038,1219735,646,Conservative,Beginner,2.9,Wealth Creation,5771006,277669,5493337,10,PPF,16.2,12.97,57.85,12.0,37.22,Moderately Conservative
C0036,33,Business Owner,2,154558,82875,13907,57776,1433196,3819366,0,133865,5386427,596146,4790281,95389,7531327,649,Moderate,Beginner,5.7,Buy House,3229125,986997,2242128,10,Equity MF,37.38,9.0,91.0,44.0,69.85,Moderately Aggressive
C0037,24,Freelancer,4,60093,31560,7233,21300,221726,947843,0,58913,1228482,208934,1019548,230318,3120859,800,Aggressive,Advanced,9.5,Child Education,1501756,566868,934888,5,Equity,35.45,12.04,82.4,95.0,88.07,Aggressive
C0038,26,Business Owner,1,171820,76510,17944,77366,481174,3479809,3146527,310017,7417527,1681826,5735701,349955,0,739,Aggressive,Beginner,9.2,Wealth Creation,1758258,256074,1502184,7,Stocks,45.03,10.44,83.25,87.0,84.94,Aggressive
C0039,21,Bank Employee,0,84099,37795,10540,35764,874884,753016,0,129883,1757783,197265,1560518,80490,4320583,727,Moderate,Intermediate,7.0,Wealth Creation,4986650,874884,4111766,5,Hybrid MF,42.53,12.53,90.4,60.0,76.72,Moderately Aggressive
C0040,32,Business Owner,1,117988,58761,29092,30135,1354240,1729071,5730314,726620,9540245,3323342,6216903,309690,0,671,Moderate,Beginner,6.0,Higher Education,3417342,1032521,2384821,7,Bonds,25.54,24.66,69.35,44.0,57.94,Moderate
C0041,55,Accountant,2,50941,24702,9812,16427,152150,637523,6470955,187078,7447706,1801309,5646397,186981,2973457,774,Moderate,Beginner,6.1,Child Education,2256946,492094,1764852,5,Equity MF,32.25,19.26,77.9,44.0,62.65,Moderate
C0042,31,Designer,0,91369,50724,12633,28012,1000128,980856,3795668,711553,6488205,2001989,4486216,305059,2223865,759,Moderate,Intermediate,6.6,Travel,1285016,185400,1099616,9,Equity MF,30.66,13.83,81.3,55.0,69.47,Moderately Aggressive
C0043,43,Sales Executive,2,58950,29512,8249,21189,395740,1764164,0,396347,2556251,116555,2439696,198422,0,673,Moderate,Beginner,6.2,Emergency Fund,863764,279496,584268,4,Equity MF,35.94,13.99,79.9,35.0,59.7,Moderate
C0044,34,Designer,0,86265,29320,763,56182,934906,1164424,0,116683,2216013,16914,2199099,143187,4564690,611,Conservative,Advanced,3.6,Retirement,6119603,1164424,4955179,5,PPF,65.13,0.88,93.05,23.0,61.53,Moderate
C0045,39,Accountant,0,52963,22568,8055,22340,547327,647859,0,376396,1571582,283651,1287931,155492,753473,700,Moderate,Beginner,6.3,Child Education,3096888,238209,2858679,13,Hybrid MF,42.18,15.21,90.9,44.0,69.8,Moderately Aggressive
C0046,57,Sales Executive,1,70280,33725,12774,23781,353999,1376467,0,499071,2229537,221429,2008108,43311,3913642,797,Conservative,Beginner,3.6,Wealth Creation,1736787,251107,1485680,12,PPF,33.84,18.18,82.2,12.0,50.61,Moderate
C0047,36,Teacher,3,51461,33306,4996,13159,596459,572945,4802884,65559,6037847,2337436,3700411,256819,1738535,800,Moderate,Beginner,6.6,Retirement,6828002,596459,6231543,5,Hybrid MF,25.57,9.71,76.75,47.0,63.36,Moderate
C0048,48,Teacher,3,66659,36515,7380,22764,399985,287901,1202782,369804,2260472,505696,1754776,99275,3896248,761,Moderate,Beginner,6.6,Child Education,5637093,399985,5237108,15,Equity MF,34.15,11.07,84.55,44.0,66.3,Moderate
C0049,51,Designer,2,93916,56182,8654,29080,1072519,801037,3365028,718664,5957248,1514219,4443029,155155,3001422,753,Moderate,Beginner,6.1,Retirement,7903515,1072519,6830996,5,Equity MF,30.96,9.21,82.5,47.0,66.53,Moderate
C0050,27,Designer,1,76962,39371,6969,30622,347105,1345155,6425583,383066,8500909,1698375,6802534,189119,1552096,781,Moderate,Beginner,5.9,Higher Education,4458424,548765,3909659,12,Hybrid MF,39.79,9.06,91.7,44.0,70.23,Moderately Aggressive
C0051,47,Government Employee,2,72562,48532,455,23575,495259,1124894,0,299586,1919739,4603,1915136,270240,1793086,784,Conservative,Intermediate,3.4,Buy House,8116005,1124894,6991111,8,Bonds,32.49,0.63,88.9,12.0,54.3,Moderate
C0052,37,Freelancer,4,99137,51316,8752,39069,916226,1692330,4688838,195738,7493132,2164709,5328423,86950,0,736,Conservative,Beginner,2.4,Emergency Fund,449707,117817,331890,4,FD,39.41,8.83,78.8,0.0,43.34,Moderately Conservative
C0053,27,Software Engineer,0,140386,72582,6243,61561,1119374,3036262,7172156,783111,12110903,1129103,10981800,288336,0,802,Moderate,Beginner,5.8,Higher Education,3145259,722462,2422797,9,Bonds,43.85,4.45,96.9,44.0,73.1,Moderately Aggressive
C0054,35,Freelancer,1,87841,44629,11138,32074,761960,353923,7663210,654918,9434011,3655576,5778435,238559,1375138,736,Moderate,Intermediate,6.7,Buy House,6090447,761960,5328487,8,Hybrid MF,36.51,12.68,80.7,52.0,67.79,Moderate
C0055,60,Business Owner,0,122106,40997,4471,76638,357993,2857570,7493372,700379,11409314,1338663,10070651,221727,3489450,694,Moderate,Beginner,6.0,Retirement,6248656,2387134,3861522,7,Equity MF,62.76,3.66,89.15,47.0,70.18,Moderately Aggressive
C0056,32,Bank Employee,0,41857,15386,743,25728,109305,333822,7940135,287873,8671135,2017089,6654046,104057,0,806,Moderate,Intermediate,6.4,Wealth Creation,7637438,333822,7303616,8,Equity MF,61.47,1.78,93.15,60.0,78.23,Moderately Aggressive
C0057,28,Accountant,0,42191,19719,6341,16131,349380,984696,0,242652,1576728,247457,1329271,132767,1633878,660,Aggressive,Advanced,9.4,Child Education,1381199,455399,925800,8,Equity,38.23,15.03,87.75,95.0,91.01,Aggressive
C0058,22,Business Owner,1,103445,47562,14542,41341,734239,375162,3733641,778728,5621770,1639584,3982186,231570,0,597,Conservative,Intermediate,3.7,Higher Education,4874516,734239,4140277,15,Bonds,39.96,14.06,85.0,12.0,52.15,Moderate
C0059,58,Business Owner,2,92756,47711,4975,40070,515600,2002228,5353269,245735,8116832,367286,7749546,245372,4815139,761,Moderate,Beginner,6.5,Wealth Creation,2540962,1028698,1512264,7,Equity MF,43.2,5.36,89.45,52.0,72.6,Moderately Aggressive
C0060,46,Bank Employee,1,76176,29198,15973,31005,893555,1423489,0,525827,2842871,404392,2438479,40946,4118686,713,Conservative,Advanced,3.4,Retirement,4037843,1079671,2958172,5,FD,40.7,20.97,83.25,23.0,56.14,Moderate
C0061,41,Sales Executive,2,74654,38097,6768,29789,366615,2078569,7553826,167942,10166952,2030571,8136381,173258,3877266,732,Moderate,Intermediate,6.0,Emergency Fund,651681,91020,560661,5,Equity MF,39.9,9.07,84.0,43.0,65.55,Moderate
C0062,33,Software Engineer,2,95519,51334,12349,31836,1022717,1798507,0,264072,3085296,264017,2821279,268436,1818043,710,Conservative,Beginner,3.6,Higher Education,2252297,155002,2097295,7,FD,33.33,12.93,84.2,4.0,48.11,Moderate
C0063,39,Teacher,2,61197,30960,864,29373,371899,615112,0,378632,1365643,39804,1325839,36550,1641773,744,Moderate,Beginner,6.0,Travel,1388129,182680,1205449,7,Gold,48.0,1.41,92.3,47.0,71.92,Moderately Aggressive
C0064,38,Sales Executive,0,74120,34989,6654,32477,447542,831501,4268710,455506,6003259,186787,5816472,168227,2088213,699,Moderate,Intermediate,6.7,Emergency Fund,408485,49925,358560,4,Equity MF,43.82,8.98,89.65,43.0,68.66,Moderately Aggressive
C0065,22,Doctor,1,164764,70490,23095,71179,951789,2633098,1278396,884803,5748086,1445227,4302859,215783,5051878,717,Conservative,Intermediate,4.1,Wealth Creation,4213275,597577,3615698,8,Debt MF,43.2,14.02,90.2,20.0,58.61,Moderate
C0066,48,Business Owner,0,129926,33796,28596,67534,864400,2621723,6277402,817658,10581183,1841537,8739646,114492,6005959,719,Moderate,Advanced,7.2,Buy House,2872535,1048564,1823971,15,Gold,51.98,22.01,85.55,60.0,74.05,Moderately Aggressive
C0067,43,Accountant,1,51561,18199,3829,29533,408241,1392326,6600453,379542,8780562,2028103,6752459,58536,1410290,696,Moderate,Advanced,7.3,Child Education,4999119,1392326,3606793,10,Hybrid MF,57.28,7.43,91.5,60.0,77.33,Moderately Aggressive
C0068,24,Accountant,2,57420,29355,2041,26024,134789,1240408,0,310558,1685755,4981,1680774,161499,1412449,728,Aggressive,Beginner,8.4,Buy House,4085985,1043999,3041986,6,Equity MF,45.32,3.55,90.4,79.0,85.27,Aggressive
C0069,24,Software Engineer,2,137238,83075,38815,15348,1304118,4049252,0,380851,5734221,344919,5389302,383541,0,742,Conservative,Intermediate,3.6,Retirement,6480193,1167794,5312399,15,Debt MF,11.18,28.28,77.0,15.0,49.1,Moderate
C0070,32,Doctor,1,79938,39253,17086,23599,795321,262219,7941049,75023,9073612,993591,8080021,215613,4164887,648,Aggressive,Intermediate,9.1,Buy House,7591112,424753,7166359,12,ETF,29.52,21.37,80.95,87.0,83.67,Moderately Aggressive
C0071,42,Accountant,1,42377,16626,8269,17482,87964,661214,0,245808,994986,168419,826567,106293,2473483,711,Conservative,Advanced,3.6,Child Education,1155726,181648,974078,11,PPF,41.25,19.51,83.65,20.0,55.01,Moderate
C0072,46,Bank Employee,1,94806,49057,15823,29926,494606,1212652,5321960,293042,7322260,711231,6611029,272947,4606253,825,Moderate,Advanced,6.6,Child Education,3757261,1164926,2592335,5,Bonds,31.57,16.69,82.25,60.0,72.24,Moderately Aggressive
C0073,60,Freelancer,2,75836,40134,9310,26392,877418,590147,0,118265,1585830,66829,1519001,280568,0,764,Aggressive,Beginner,9.5,Emergency Fund,713442,161262,552180,4,Stocks,34.8,12.28,77.35,70.0,74.04,Moderately Aggressive
C0074,55,Sales Executive,0,73042,26907,13298,32837,277773,681073,1809808,420585,3189239,1138419,2050820,92156,0,657,Moderate,Intermediate,6.4,Wealth Creation,3042936,681073,2361863,7,Equity MF,44.96,18.21,79.9,60.0,70.95,Moderately Aggressive
C0075,24,Freelancer,3,108529,63359,19281,25889,813375,991343,0,372413,2177131,589390,1587741,305249,5844584,734,Moderate,Intermediate,5.9,Child Education,2319685,237784,2081901,7,Bonds,23.85,17.77,77.4,52.0,65.97,Moderate
C0076,32,Sales Executive,1,78408,24682,3937,49789,198201,1975860,1959528,65477,4199066,227198,3971868,115786,2593739,760,Conservative,Intermediate,3.0,Retirement,7374513,1507139,5867374,8,PPF,63.5,5.02,96.15,15.0,59.63,Moderate
C0077,24,Government Employee,0,81671,35831,9681,36159,577698,1531598,963502,519729,3592527,866994,2725533,277686,2259623,831,Moderate,Advanced,6.9,Child Education,4279331,1531598,2747733,15,Equity MF,44.27,11.85,93.0,60.0,78.15,Moderately Aggressive
C0078,51,Accountant,1,67139,34573,219,32347,664149,928680,6840783,105562,8539174,2078879,6460295,245986,2926706,698,Conservative,Intermediate,3.7,Retirement,3730604,414259,3316345,7,PPF,48.18,0.33,87.5,15.0,54.88,Moderate
C0079,27,Teacher,1,43283,22938,11880,8465,495196,736041,7879251,7948,9118436,4086013,5032423,103678,1733815,676,Moderate,Intermediate,5.8,Child Education,4147614,736041,3411573,12,Hybrid MF,19.56,27.45,70.7,52.0,62.29,Moderate
C0080,30,Bank Employee,3,79173,31133,14674,33366,195343,2050728,0,200945,2447016,413159,2033857,181490,0,700,Moderate,Beginner,5.5,Wealth Creation,7030009,1470383,5559626,12,Equity MF,42.14,18.53,92.25,52.0,74.14,Moderately Aggressive
C0081,44,Designer,3,79630,38339,7400,33891,513183,1363948,0,100504,1977635,51046,1926589,188002,1836632,736,Aggressive,Beginner,8.5,Wealth Creation,5254422,1363948,3890474,14,Equity MF,42.56,9.29,97.15,87.0,92.58,Aggressive
C0082,35,Bank Employee,2,59969,35776,14211,9982,560656,339554,0,221132,1121342,437218,684124,257340,3451384,798,Aggressive,Intermediate,9.4,Retirement,8809407,560656,8248751,12,Equity,16.65,23.7,69.5,90.0,78.72,Moderately Aggressive
C0083,59,Government Employee,3,45992,24787,4551,16654,545138,939597,0,271840,1756575,134338,1622237,146167,1249575,699,Moderate,Intermediate,6.2,Buy House,9223920,939597,8284323,12,Bonds,36.21,9.9,89.9,52.0,72.85,Moderately Aggressive
C0084,40,Doctor,2,185572,85983,41036,58553,851271,3829694,0,599909,5280874,1045927,4234947,305265,5365839,689,Moderate,Intermediate,6.8,Higher Education,3624606,927669,2696937,13,Hybrid MF,31.55,22.11,81.75,52.0,68.36,Moderately Aggressive
C0085,27,Sales Executive,0,59707,19421,1171,39115,508402,1183894,3599132,362664,5654092,1393886,4260206,72746,0,669,Moderate,Intermediate,7.2,Retirement,8280625,1183894,7096731,9,Equity MF,65.51,1.96,93.9,55.0,76.4,Moderately Aggressive
C0086,33,Teacher,3,40022,25672,1952,12398,187701,1116237,0,213819,1517757,77975,1439782,162628,1404980,607,Moderate,Intermediate,6.9,Retirement,3059823,900281,2159542,11,Equity MF,30.98,4.88,91.0,55.0,74.8,Moderately Aggressive
C0087,48,Designer,3,72620,21886,9919,40815,278673,634007,576407,81807,1570894,422144,1148750,63619,0,762,Conservative,Beginner,3.6,Wealth Creation,2444661,579115,1865546,9,Bonds,56.2,13.66,86.75,12.0,53.11,Moderate
C0088,59,Doctor,2,136222,70342,11981,53899,1229636,4077459,1590928,457576,7355599,389667,6965932,360095,2704534,747,Moderate,Beginner,6.2,Higher Education,3624794,346887,3277907,5,Bonds,39.57,8.8,84.3,44.0,66.17,Moderate
C0089,38,Designer,0,75946,32370,5223,38353,165086,368119,0,323454,856659,181393,675266,219500,2722972,792,Aggressive,Beginner,8.9,Higher Education,4067901,368119,3699782,8,Stocks,50.5,6.88,88.25,79.0,84.09,Aggressive
C0090,31,Accountant,4,80589,54009,5711,20869,890811,1937707,3614330,213045,6655893,669656,5986237,426049,3175003,701,Aggressive,Beginner,9.2,Emergency Fund,671889,96846,575043,8,Stocks,25.9,7.09,86.3,70.0,78.97,Moderately Aggressive
C0091,56,Designer,3,94127,46176,17565,30386,324453,1844807,2371711,328046,4869017,1386010,3483007,286026,0,650,Moderate,Advanced,7.6,Wealth Creation,7372535,1825623,5546912,11,Gold,32.28,18.66,80.55,68.0,74.9,Moderately Aggressive
C0092,56,Software Engineer,2,86870,38485,13942,34443,770867,2117245,0,549650,3437762,105324,3332438,68514,1483546,739,Conservative,Intermediate,3.6,Wealth Creation,7840882,2117245,5723637,5,Debt MF,39.65,16.05,80.75,20.0,53.41,Moderate
C0093,22,Business Owner,3,103263,62354,11755,29154,584965,1299537,6649107,790377,9323986,960544,8363442,294822,1467359,719,Conservative,Intermediate,4.1,Retirement,4310221,444705,3865516,14,Debt MF,28.23,11.38,86.0,15.0,54.05,Moderate
C0094,37,Doctor,2,103755,45426,3237,55092,416076,3104896,7515757,543409,11580138,767714,10812424,45571,2087982,644,Aggressive,Beginner,8.3,Wealth Creation,6998855,1616456,5382399,7,ETF,53.1,3.12,88.6,87.0,87.88,Aggressive
C0095,26,Doctor,3,158035,101009,35755,21271,451411,1011753,5651611,607518,7722293,1360922,6361371,740783,3529145,704,Aggressive,Beginner,9.6,Wealth Creation,6235866,1011753,5224113,14,ETF,13.46,22.62,69.85,87.0,77.57,Moderately Aggressive
C0096,43,Freelancer,3,67101,45702,11062,10337,194608,1357149,0,72100,1623857,279400,1344457,226686,1481615,687,Conservative,Intermediate,3.1,Buy House,6000671,753222,5247449,13,PPF,15.41,16.49,71.3,12.0,44.62,Moderately Conservative
C0097,36,Sales Executive,3,57499,24227,5142,28130,633788,1668276,4041572,72098,6415734,1257199,5158535,145271,2117561,776,Moderate,Intermediate,6.3,Wealth Creation,4236179,1635601,2600578,5,Gold,48.92,8.94,89.75,60.0,76.36,Moderately Aggressive
C0098,46,Accountant,0,80124,32882,7634,39608,283066,1601897,0,34685,1919648,292578,1627070,174813,2928582,583,Aggressive,Advanced,9.7,Wealth Creation,1792817,113160,1679657,14,Equity MF,49.43,9.53,96.85,100.0,98.27,Aggressive
C0099,21,Accountant,0,47981,19171,7886,20924,544405,853706,0,88494,1486605,268900,1217705,59759,1387078,764,Moderate,Beginner,5.9,Wealth Creation,4475115,728951,3746164,6,Equity MF,43.61,16.44,87.4,52.0,71.47,Moderately Aggressive
C0100,56,Software Engineer,4,70993,34903,8206,27884,794169,1027625,6305287,133277,8260358,2421172,5839186,51045,3290472,843,Moderate,Beginner,6.3,Wealth Creation,4958422,973984,3984438,12,Equity MF,39.28,11.56,80.35,52.0,67.59,Moderate
C0101,50,Software Engineer,3,98633,66265,0,32368,886540,2089633,0,159470,3135643,0,3135643,226071,0,817,Aggressive,Beginner,8.8,Emergency Fund,621719,228577,393142,10,Stocks,32.82,0.0,88.45,70.0,80.15,Moderately Aggressive
C0102,22,Freelancer,3,60460,38128,4622,17710,554579,1510569,0,458632,2523780,16677,2507103,288306,1597834,727,Moderate,Intermediate,7.1,Wealth Creation,6578516,1510569,5067947,15,Gold,29.29,7.64,90.0,60.0,76.5,Moderately Aggressive
C0103,40,Business Owner,0,107201,48776,12756,45669,924712,1541615,0,402395,2868722,297501,2571221,164912,4406014,711,Aggressive,Intermediate,9.9,Retirement,7979708,1225248,6754460,9,Equity MF,42.6,11.9,90.95,90.0,90.52,Aggressive
C0104,25,Sales Executive,1,46811,20438,4531,21842,317061,1391716,0,241902,1950679,125334,1825345,85062,1000479,725,Conservative,Advanced,4.4,Retirement,8311211,1051981,7259230,10,Debt MF,46.66,9.68,97.2,23.0,63.81,Moderate
C0105,51,Teacher,4,61197,39067,12740,9390,450794,937830,7322570,116008,8827202,3534338,5292864,256435,3245612,685,Aggressive,Intermediate,9.0,Wealth Creation,2497284,716600,1780684,15,Equity,15.34,20.82,67.1,95.0,79.66,Moderately Aggressive
C0106,28,Bank Employee,0,74463,35802,2563,36098,354678,793934,0,342285,1490897,67665,1423232,47959,930753,690,Aggressive,Intermediate,10.0,Child Education,3791818,781626,3010192,14,Stocks,48.48,3.44,95.55,87.0,91.7,Aggressive
C0107,50,Doctor,2,163480,83404,23609,56467,1353618,3128651,7872804,1056702,13411775,1279224,12132551,213548,0,745,Aggressive,Beginner,9.7,Retirement,3142354,231373,2910981,12,Equity,34.54,14.44,87.25,82.0,84.89,Aggressive
C0108,59,Accountant,0,57009,30929,14791,11289,421399,277030,7103791,87325,7889545,3876879,4012666,224151,2002985,698,Conservative,Beginner,2.9,Wealth Creation,3696701,421399,3275302,10,FD,19.8,25.95,63.1,12.0,40.11,Moderately Conservative
