date,year,equity_return,debt_return,gold_return,fd_return,equity_volatility,debt_volatility,gold_volatility,inflation_rate,interest_rate,stock_market_index,market_growth,gdp_growth,unemployment_rate,economic_condition
1987-02-01,1987,8.16,3.98,3.55,4.23,13.46,1.38,7.97,2.0,4.47,1304.43,2.86,4.22,4.34,Weak
1987-03-01,1987,11.95,5.42,13.52,5.51,8.19,0.87,10.15,3.11,5.97,1317.41,7.06,6.62,3.74,Good
1987-04-01,1987,-0.39,5.57,10.34,5.75,16.54,1.15,10.56,5.85,5.66,1316.99,-5.88,7.53,2.5,Good
1987-05-01,1987,9.9,5.48,11.44,7.41,10.86,1.5,12.03,6.83,7.13,1327.85,1.67,8.37,5.67,Normal
1987-06-01,1987,14.03,6.06,2.01,5.47,9.35,1.32,14.58,5.81,5.2,1343.38,2.42,5.27,7.67,Normal
1987-07-01,1987,-1.75,4.26,7.76,6.51,11.03,1.02,13.02,5.29,6.35,1341.41,3.15,7.64,7.46,Good
1987-08-01,1987,13.69,5.89,4.97,6.76,10.11,1.36,8.05,4.96,6.96,1356.71,7.14,6.01,4.87,Normal
1987-09-01,1987,15.44,3.05,10.16,3.0,17.34,1.68,13.65,2.84,3.09,1374.17,1.3,6.06,4.38,Normal
1987-10-01,1987,13.45,4.87,12.02,4.34,15.95,0.57,11.33,4.2,4.91,1389.58,15.07,7.48,5.87,Good
1987-11-01,1987,16.53,5.53,-0.26,6.53,8.0,1.62,12.39,4.67,6.17,1408.72,6.79,7.08,4.18,Good
1987-12-01,1987,28.28,5.57,9.72,6.47,10.16,1.12,15.02,7.4,6.5,1441.92,3.48,3.41,6.15,Weak
1988-01-01,1988,9.4,6.11,13.46,6.24,12.81,1.39,8.25,6.12,6.51,1453.21,4.43,8.14,6.51,Good
1988-02-01,1988,16.77,3.94,5.77,4.59,16.31,1.75,9.99,2.33,4.41,1473.51,9.69,8.45,6.5,Good
1988-03-01,1988,7.99,6.66,11.87,5.88,9.56,0.74,9.69,6.08,6.27,1483.33,10.78,4.99,5.47,Normal
1988-04-01,1988,9.31,5.73,9.53,5.58,9.2,0.98,6.78,4.81,5.63,1494.83,0.44,6.68,5.15,Good
1988-05-01,1988,12.42,6.69,9.15,6.31,15.7,1.14,11.44,4.28,6.51,1510.31,2.25,6.89,4.26,Good
1988-06-01,1988,10.49,5.02,8.21,6.6,12.14,0.97,17.43,6.6,6.59,1523.52,3.35,6.26,4.67,Normal
1988-07-01,1988,-2.99,5.97,4.91,6.75,14.22,1.88,6.74,7.36,6.92,1519.72,-5.01,4.95,5.51,Normal
1988-08-01,1988,7.64,5.16,5.18,5.74,15.0,0.92,11.21,7.18,6.26,1529.4,-1.33,4.79,6.19,Normal
1988-09-01,1988,19.95,3.8,10.43,4.95,8.0,1.08,12.1,3.99,5.08,1554.82,3.25,6.14,6.37,Normal
1988-10-01,1988,18.34,5.15,8.29,5.57,14.07,1.31,11.04,4.94,5.46,1578.58,13.2,7.83,4.45,Good
1988-11-01,1988,18.51,5.36,8.41,6.37,11.75,0.82,10.74,6.1,6.52,1602.93,7.8,6.74,7.38,Good
1988-12-01,1988,8.59,5.93,8.02,6.32,11.93,1.08,8.07,7.26,6.28,1614.42,5.97,5.23,5.44,Normal
1989-01-01,1989,20.25,4.52,6.79,5.52,11.85,1.32,11.24,4.64,5.93,1641.66,12.86,7.26,5.34,Good
1989-02-01,1989,10.51,8.3,12.55,7.39,11.82,1.21,8.9,5.17,7.54,1656.04,2.81,2.0,4.55,Weak
1989-03-01,1989,7.45,4.86,5.94,5.69,10.74,1.17,5.0,3.51,6.0,1666.33,10.53,7.96,2.5,Good
1989-04-01,1989,12.57,4.76,1.81,5.02,11.08,1.1,13.32,3.35,4.99,1683.78,4.78,3.65,6.24,Weak
1989-05-01,1989,3.76,7.27,12.5,7.33,8.66,0.79,13.64,6.96,7.47,1689.05,6.63,5.28,6.6,Normal
1989-06-01,1989,1.95,5.12,9.34,6.55,12.62,1.35,11.61,7.94,6.53,1691.79,-0.44,4.03,5.53,Weak
1989-07-01,1989,1.86,4.36,8.62,4.45,17.94,1.95,11.42,5.37,4.32,1694.41,-12.25,4.07,5.56,Weak
1989-08-01,1989,12.08,3.97,16.18,5.85,11.8,1.22,14.01,7.31,5.83,1711.47,4.91,7.52,6.39,Normal
1989-09-01,1989,7.21,5.15,8.92,4.65,16.8,1.38,11.6,6.15,4.73,1721.75,15.06,5.22,3.72,Normal
1989-10-01,1989,22.55,4.8,8.98,4.91,13.59,1.5,12.84,4.34,5.31,1754.1,13.19,6.66,4.69,Good
1989-11-01,1989,18.06,5.03,4.28,6.09,13.59,0.78,10.29,6.15,6.24,1780.5,12.21,5.85,6.55,Normal
1989-12-01,1989,9.35,7.08,9.5,8.03,11.3,1.98,14.85,8.27,8.31,1794.38,13.44,6.38,4.41,Weak
1990-01-01,1990,0.39,6.23,10.97,6.0,9.8,1.29,11.66,5.44,6.24,1794.97,6.54,6.12,5.84,Normal
1990-02-01,1990,8.05,5.34,4.18,6.57,10.52,1.84,12.06,8.32,6.81,1807.01,4.69,3.74,4.29,Weak
1990-03-01,1990,7.84,4.6,7.1,5.04,16.17,0.99,6.82,2.0,5.44,1818.81,4.13,7.91,5.53,Good
1990-04-01,1990,9.15,3.73,9.94,4.11,9.63,1.94,11.96,6.98,4.75,1832.68,2.44,5.08,5.68,Normal
1990-05-01,1990,9.41,4.62,8.84,5.93,14.55,1.49,8.83,5.66,6.24,1847.06,8.77,3.65,3.59,Weak
1990-06-01,1990,1.32,7.29,12.37,6.33,16.59,1.43,9.14,4.96,6.43,1849.09,14.18,5.42,6.82,Normal
1990-07-01,1990,8.4,3.74,10.02,4.39,10.66,1.37,8.88,5.67,4.87,1862.03,6.0,8.23,4.64,Good
1990-08-01,1990,9.36,6.12,12.21,5.54,13.87,1.14,7.33,2.0,5.69,1876.56,5.18,7.7,4.0,Good
1990-09-01,1990,15.15,5.69,4.34,6.46,10.78,1.63,16.09,5.1,6.13,1900.25,5.75,5.52,5.68,Normal
1990-10-01,1990,7.56,4.37,9.54,6.0,12.76,1.26,14.36,6.14,5.89,1912.23,9.41,5.4,6.97,Normal
1990-11-01,1990,15.23,6.45,10.64,7.7,16.35,0.63,16.34,8.16,7.44,1936.5,-5.92,5.2,4.68,Weak
1990-12-01,1990,-9.67,7.57,3.69,7.44,20.14,0.93,7.58,4.57,7.49,1920.9,-8.18,9.0,5.43,Good
1991-01-01,1991,18.85,5.0,11.45,5.78,13.72,1.16,10.69,4.04,5.64,1951.07,3.04,6.75,5.8,Good
1991-02-01,1991,5.25,6.29,17.29,5.55,12.99,1.32,7.42,4.6,5.88,1959.6,-1.9,6.75,6.2,Good
1991-03-01,1991,14.58,6.17,9.58,5.9,9.31,1.2,9.55,7.15,6.21,1983.41,2.27,7.35,5.96,Normal
1991-04-01,1991,10.55,5.53,10.98,4.69,10.22,1.66,8.73,6.09,5.53,2000.86,4.68,6.29,5.15,Normal
1991-05-01,1991,17.31,5.42,8.29,6.48,9.99,0.54,13.74,4.55,6.33,2029.72,2.93,5.73,4.36,Normal
1991-06-01,1991,12.97,4.0,6.32,5.87,15.12,1.28,10.12,6.42,5.64,2051.65,15.35,5.59,5.74,Normal
1991-07-01,1991,4.15,4.95,1.41,5.83,13.65,0.57,13.59,5.67,6.12,2058.75,7.96,5.87,4.24,Normal
1991-08-01,1991,20.84,5.52,6.89,6.01,9.73,1.48,12.82,7.24,6.23,2094.51,7.0,5.73,2.5,Normal
1991-09-01,1991,13.52,5.87,2.19,5.6,13.0,1.17,16.32,4.24,5.94,2118.11,11.43,7.24,5.83,Good
1991-10-01,1991,8.26,3.73,15.01,6.01,14.31,1.35,7.03,4.91,6.06,2132.68,-1.8,6.15,6.5,Normal
1991-11-01,1991,24.26,6.0,7.66,6.71,16.23,0.94,13.85,4.79,6.58,2175.79,14.07,7.18,2.56,Good
1991-12-01,1991,4.61,4.45,5.48,4.08,8.0,1.75,13.08,2.87,4.67,2184.16,6.59,6.2,3.89,Normal
1992-01-01,1992,17.24,5.02,12.48,5.92,11.26,1.57,8.57,6.03,5.97,2215.53,10.31,6.05,6.32,Normal
1992-02-01,1992,0.86,5.7,4.39,5.16,15.59,1.45,13.51,5.97,5.38,2217.11,-3.57,2.95,8.04,Weak
1992-03-01,1992,4.44,5.32,5.51,5.53,17.96,1.18,11.72,5.51,5.65,2225.31,-4.3,7.37,5.53,Good
1992-04-01,1992,14.85,6.59,8.57,6.12,12.45,1.42,10.2,5.08,6.15,2252.86,12.05,6.57,4.56,Good
1992-05-01,1992,3.76,5.19,11.03,5.52,8.88,0.98,8.18,2.95,5.71,2259.91,10.6,7.8,4.9,Good
1992-06-01,1992,0.37,5.18,10.09,4.82,15.73,1.58,8.89,4.74,5.0,2260.61,-2.35,2.0,7.04,Weak
1992-07-01,1992,18.5,7.2,9.17,6.28,11.01,1.82,15.85,4.88,6.48,2295.47,1.66,9.0,4.63,Good
1992-08-01,1992,21.97,7.14,7.95,6.67,12.3,1.62,10.52,4.06,6.58,2337.49,14.33,5.96,4.32,Normal
1992-09-01,1992,6.62,4.73,9.99,6.18,12.74,0.96,12.76,5.21,6.23,2350.39,-1.44,7.7,4.88,Good
1992-10-01,1992,17.65,6.81,9.85,7.66,15.28,1.47,9.08,6.23,7.76,2384.96,16.09,4.35,4.47,Weak
1992-11-01,1992,3.74,5.23,6.66,6.1,12.94,0.79,9.77,8.9,6.57,2392.4,-1.73,6.51,6.16,Weak
1992-12-01,1992,21.79,4.81,8.96,4.87,8.0,1.47,13.66,5.81,5.11,2435.85,9.26,4.38,7.5,Weak
1993-01-01,1993,7.38,4.57,4.58,4.81,13.47,1.46,7.62,5.96,4.74,2450.83,2.77,5.01,5.96,Normal
1993-02-01,1993,16.05,5.83,8.81,7.01,15.78,0.64,9.8,5.37,7.15,2483.61,11.7,8.89,5.18,Good
1993-03-01,1993,18.43,5.12,4.41,5.33,12.5,0.85,10.1,2.05,5.31,2521.76,3.64,6.13,4.63,Normal
1993-04-01,1993,4.83,3.67,18.7,6.23,8.24,1.11,11.14,5.45,5.94,2531.91,4.89,6.33,3.62,Normal
1993-05-01,1993,22.33,6.74,8.49,6.37,10.12,1.12,10.45,5.61,6.26,2579.03,6.77,7.29,6.58,Good
1993-06-01,1993,-5.95,5.05,5.84,6.52,14.87,0.83,12.97,9.93,6.65,2566.23,-3.07,6.21,6.07,Weak
1993-07-01,1993,25.28,7.26,7.81,7.56,14.22,1.48,12.52,5.15,7.84,2620.3,11.31,6.27,5.23,Normal
1993-08-01,1993,6.09,5.32,11.01,5.5,13.3,1.31,12.85,6.04,6.29,2633.6,2.25,6.48,9.41,Normal
1993-09-01,1993,9.54,6.33,15.23,5.87,8.58,1.14,8.39,5.44,6.07,2654.53,5.9,9.0,5.85,Good
1993-10-01,1993,-5.21,3.17,4.85,5.61,13.42,0.95,9.64,3.4,5.84,2643.01,-0.1,6.17,4.28,Normal
1993-11-01,1993,-3.32,6.18,3.58,7.05,21.27,1.66,14.38,7.56,7.1,2635.7,-13.01,6.05,5.3,Normal
1993-12-01,1993,2.68,5.75,12.72,6.46,13.55,1.83,13.45,6.85,6.65,2641.59,4.66,7.41,7.08,Normal
1994-01-01,1994,15.73,4.67,3.98,5.64,20.8,1.04,7.8,6.92,5.87,2676.22,22.89,7.49,5.85,Normal
1994-02-01,1994,14.5,6.72,5.77,5.21,15.61,1.0,11.34,3.86,5.8,2708.55,13.14,7.98,3.53,Good
1994-03-01,1994,16.4,6.72,9.19,8.0,10.66,1.56,6.56,8.03,8.39,2745.56,4.91,6.66,6.98,Weak
1994-04-01,1994,11.79,6.45,6.66,6.16,13.63,1.09,10.36,2.98,6.19,2772.53,4.34,4.59,4.32,Normal
1994-05-01,1994,13.49,7.14,12.02,7.92,11.35,1.28,15.88,6.56,7.64,2803.71,6.78,8.32,7.91,Normal
1994-06-01,1994,2.21,6.85,8.4,6.8,8.75,1.54,9.49,9.44,6.97,2808.88,6.67,3.81,7.39,Weak
1994-07-01,1994,1.21,3.6,6.32,4.52,16.71,0.64,8.34,3.72,4.58,2811.7,-1.27,6.67,4.7,Good
1994-08-01,1994,27.66,4.42,7.86,5.63,15.64,1.7,12.53,4.48,5.54,2876.51,13.53,4.99,6.88,Normal
1994-09-01,1994,8.19,6.3,9.29,5.75,11.79,1.23,7.06,5.68,6.11,2896.16,10.69,5.88,5.61,Normal
1994-10-01,1994,25.81,6.35,8.38,6.5,12.22,1.1,9.07,4.59,6.56,2958.45,11.59,6.6,6.39,Good
1994-11-01,1994,12.47,2.11,8.5,3.33,13.22,1.36,11.67,2.71,3.67,2989.2,10.6,6.82,5.66,Good
1994-12-01,1994,11.04,6.16,12.03,7.33,11.16,1.29,9.32,5.62,7.27,3016.7,6.25,6.62,4.5,Good
1995-01-01,1995,22.96,5.08,8.9,5.09,14.26,0.66,9.81,3.59,5.2,3074.42,12.85,8.65,4.44,Good
1995-02-01,1995,21.75,5.86,10.94,5.88,12.87,1.73,12.95,6.35,5.96,3130.14,9.9,6.58,6.86,Good
1995-03-01,1995,9.34,3.61,1.17,4.27,14.4,1.33,11.52,3.85,4.61,3154.5,4.0,5.83,4.85,Normal
1995-04-01,1995,4.92,2.33,10.59,5.68,14.7,1.38,12.24,8.29,5.65,3167.43,1.17,7.11,5.43,Weak
1995-05-01,1995,12.31,6.09,9.58,6.54,11.72,1.55,9.67,4.09,6.17,3199.93,8.25,7.95,4.14,Good
1995-06-01,1995,18.54,4.29,11.11,5.45,17.46,0.85,11.66,4.92,5.86,3249.38,15.95,4.23,5.92,Weak
1995-07-01,1995,11.79,3.03,6.76,5.25,12.85,1.41,10.93,6.96,5.48,3281.32,-3.11,6.72,8.19,Normal
1995-08-01,1995,6.81,2.0,4.5,4.1,15.49,1.25,11.47,3.28,4.19,3299.93,-2.73,7.32,3.89,Good
1995-09-01,1995,15.27,5.82,6.54,5.92,14.01,1.51,9.74,5.91,5.87,3341.92,6.52,5.5,5.59,Normal
1995-10-01,1995,22.03,7.32,12.25,7.87,9.72,0.63,11.01,7.85,8.16,3403.27,6.1,7.78,7.55,Normal
1995-11-01,1995,15.56,4.29,10.83,3.92,9.73,1.26,7.68,2.61,4.78,3447.4,8.41,6.12,4.97,Normal
1995-12-01,1995,13.75,5.33,7.16,5.1,9.6,1.08,10.87,5.83,4.91,3486.9,7.46,6.15,6.09,Normal
1996-01-01,1996,-1.14,5.76,12.51,6.01,8.89,1.35,8.96,5.97,5.97,3483.59,3.88,5.68,4.3,Normal
1996-02-01,1996,-2.72,6.74,9.98,5.69,13.78,1.39,8.44,6.91,6.27,3475.71,15.54,5.85,6.23,Normal
1996-03-01,1996,7.77,2.0,6.63,3.0,15.28,1.19,10.97,3.27,3.06,3498.21,-5.14,4.62,4.94,Normal
1996-04-01,1996,7.21,4.72,6.18,5.37,10.35,1.02,10.81,3.12,5.12,3519.22,0.06,4.13,6.33,Weak
1996-05-01,1996,7.29,4.08,12.17,6.36,10.09,1.17,13.07,6.44,6.14,3540.61,5.93,8.28,7.07,Good
1996-06-01,1996,5.24,5.84,10.22,6.83,18.66,0.95,9.93,6.03,6.74,3556.06,-6.65,4.67,8.69,Normal
1996-07-01,1996,8.71,6.72,17.97,7.44,9.44,1.63,12.01,5.95,7.64,3581.86,3.54,4.46,6.26,Weak
1996-08-01,1996,23.21,6.89,5.57,6.99,18.29,1.16,12.41,6.12,7.12,3651.16,15.36,2.7,5.98,Weak
1996-09-01,1996,11.65,4.88,9.85,5.17,11.16,0.4,11.68,4.28,5.36,3686.61,6.08,5.19,5.55,Normal
1996-10-01,1996,5.26,5.05,6.73,5.39,12.23,1.13,8.92,5.92,5.26,3702.77,6.13,3.97,5.14,Weak
1996-11-01,1996,13.63,8.08,5.44,7.87,12.94,1.02,11.38,6.03,8.24,3744.84,-1.91,8.4,5.99,Good
1996-12-01,1996,8.23,6.82,7.7,5.25,13.25,0.66,11.46,4.21,5.6,3770.52,3.01,7.67,4.95,Good
1997-01-01,1997,10.65,5.87,11.31,7.29,10.52,0.86,11.73,8.86,7.19,3803.98,0.9,4.56,6.21,Weak
1997-02-01,1997,7.1,4.76,20.8,6.12,12.3,1.26,5.87,6.35,6.28,3826.48,4.87,9.0,7.21,Good
1997-03-01,1997,12.96,5.2,6.44,5.6,16.34,1.71,10.74,3.36,5.41,3867.82,16.71,7.73,3.97,Good
1997-04-01,1997,12.59,4.85,4.82,5.98,12.77,1.33,16.7,6.68,6.3,3908.41,8.85,5.37,7.05,Normal
1997-05-01,1997,5.81,5.66,8.53,4.76,12.56,1.07,9.54,3.75,4.93,3927.33,-3.11,2.46,6.82,Weak
1997-06-01,1997,15.69,5.0,1.2,5.68,9.72,1.36,9.41,6.92,6.06,3978.68,8.56,9.0,5.57,Normal
1997-07-01,1997,8.67,5.34,9.56,6.56,11.89,1.1,12.33,7.59,6.7,4007.43,7.09,3.67,3.27,Weak
1997-08-01,1997,1.96,4.19,7.68,4.53,12.17,1.03,11.29,4.02,5.05,4013.99,13.21,3.71,4.55,Weak
1997-09-01,1997,13.52,5.74,12.88,5.76,16.99,0.8,14.29,7.23,6.04,4059.22,16.84,7.33,7.32,Normal
1997-10-01,1997,13.37,5.47,12.95,5.84,10.45,0.61,7.92,6.24,6.35,4104.43,0.03,9.0,5.58,Good
1997-11-01,1997,5.65,4.96,7.52,6.34,14.61,1.09,13.07,6.98,6.31,4123.75,0.53,7.9,4.52,Normal
1997-12-01,1997,2.66,8.66,10.19,8.43,13.09,1.45,13.2,8.91,8.4,4132.89,-4.27,6.44,5.41,Weak
1998-01-01,1998,17.38,2.43,5.22,3.14,11.61,1.35,10.41,5.06,3.72,4192.75,4.91,6.95,6.44,Good
1998-02-01,1998,8.87,5.93,3.18,6.58,13.82,1.09,11.38,4.14,6.4,4223.73,10.49,7.44,5.95,Good
1998-03-01,1998,5.13,6.49,8.77,6.91,13.21,0.9,13.05,3.9,6.44,4241.79,14.19,7.33,4.97,Good
1998-04-01,1998,10.31,2.04,2.53,3.69,11.42,1.59,12.69,4.03,3.83,4278.24,6.28,6.6,4.84,Good
1998-05-01,1998,6.26,5.42,6.83,5.37,11.66,0.76,7.98,5.36,5.68,4300.54,3.74,6.17,5.01,Normal
1998-06-01,1998,4.17,4.34,4.99,6.47,9.31,1.48,13.08,6.11,5.92,4315.48,6.52,5.83,4.49,Normal
1998-07-01,1998,5.5,4.99,11.1,4.57,11.68,0.93,10.84,6.0,5.05,4335.26,-0.9,4.81,7.51,Normal
1998-08-01,1998,21.2,4.29,16.75,5.75,13.57,0.94,11.43,6.99,5.9,4411.85,19.45,5.4,5.34,Normal
1998-09-01,1998,3.31,5.01,3.38,5.01,17.66,0.76,11.06,5.52,5.12,4424.03,-6.84,3.46,6.96,Weak
1998-10-01,1998,12.08,8.23,2.86,8.5,8.0,1.21,11.15,8.12,8.32,4468.56,5.69,5.54,7.72,Weak
1998-11-01,1998,30.81,6.67,7.77,6.52,17.67,1.59,13.74,5.02,6.58,4583.27,19.42,4.57,6.63,Normal
1998-12-01,1998,5.12,7.59,11.56,8.32,11.22,1.59,11.79,10.0,8.59,4602.84,2.64,3.8,5.66,Weak
1999-01-01,1999,11.45,5.99,10.18,6.58,12.32,1.62,8.36,6.63,6.97,4646.74,4.06,6.13,6.15,Normal
1999-02-01,1999,7.58,3.62,5.79,4.32,9.7,1.5,9.51,3.96,4.56,4676.11,5.27,8.27,5.24,Good
1999-03-01,1999,5.8,5.65,6.52,4.5,9.61,0.9,10.84,3.57,4.91,4698.7,6.31,7.61,4.13,Good
1999-04-01,1999,10.37,5.37,10.61,6.56,15.79,1.14,14.17,6.37,6.7,4739.32,13.69,3.54,6.02,Weak
1999-05-01,1999,-1.59,3.44,12.48,4.59,19.52,1.02,12.28,5.1,4.88,4733.05,-10.27,4.56,4.02,Normal
1999-06-01,1999,19.08,6.74,1.59,6.5,16.6,1.75,9.07,6.79,7.02,4808.3,16.67,7.26,7.12,Normal
1999-07-01,1999,20.55,4.71,7.65,6.27,17.1,0.79,17.3,6.35,6.11,4890.66,-5.39,4.42,5.07,Weak
1999-08-01,1999,4.61,4.25,9.35,5.38,8.02,1.54,11.5,5.37,5.65,4909.44,3.84,5.68,5.72,Normal
1999-09-01,1999,7.37,4.4,3.91,5.57,12.48,1.52,13.68,3.98,6.04,4939.61,4.06,7.01,5.61,Good
1999-10-01,1999,13.4,4.68,13.73,5.21,13.83,1.89,9.81,2.77,5.4,4994.77,10.55,4.87,4.78,Normal
1999-11-01,1999,7.86,4.8,5.51,5.3,13.84,1.1,12.01,4.7,5.43,5027.49,-4.86,6.25,6.08,Normal
1999-12-01,1999,12.6,6.82,9.41,6.88,10.25,1.57,13.36,7.04,7.47,5080.27,7.16,3.81,5.16,Weak
2000-01-01,2000,26.89,5.32,11.05,5.2,17.34,2.06,14.02,5.89,5.27,5194.11,19.3,5.05,6.6,Normal
2000-02-01,2000,-10.05,5.74,4.75,5.3,14.19,1.01,12.96,3.26,5.71,5150.61,-2.3,6.75,3.55,Good
2000-03-01,2000,-6.5,5.73,1.39,6.86,10.74,0.71,13.13,5.81,6.58,5122.7,5.68,3.57,5.7,Weak
2000-04-01,2000,4.63,5.09,7.31,5.98,15.4,0.54,10.26,6.19,6.0,5142.44,1.2,6.58,7.93,Good
2000-05-01,2000,20.91,5.64,11.66,5.45,14.25,1.47,9.05,3.91,5.7,5232.07,9.61,6.16,4.06,Normal
2000-06-01,2000,0.07,5.42,7.41,4.76,8.0,0.61,11.78,5.78,5.1,5232.35,6.27,6.8,4.73,Good
2000-07-01,2000,-12.7,6.2,5.26,6.6,13.64,1.13,13.23,5.6,6.78,5176.98,1.47,6.32,6.13,Normal
2000-08-01,2000,18.67,4.34,10.94,5.14,15.74,1.42,9.8,3.44,5.13,5257.51,11.43,8.29,5.41,Good
2000-09-01,2000,19.11,4.28,7.67,5.65,17.6,1.28,13.7,6.14,5.81,5341.24,18.23,6.11,6.02,Normal
2000-10-01,2000,1.51,5.26,7.19,6.99,13.39,1.44,14.76,6.51,7.19,5347.97,3.61,5.23,6.24,Normal
2000-11-01,2000,5.61,5.76,10.44,5.98,16.3,1.29,9.07,7.45,6.12,5372.97,9.96,5.95,6.55,Normal
2000-12-01,2000,-1.72,5.11,12.89,5.24,17.31,1.68,9.26,7.4,5.54,5365.28,-3.76,6.59,7.12,Normal
2001-01-01,2001,9.22,3.99,16.49,3.65,13.45,1.04,9.9,3.02,3.89,5406.51,0.45,6.37,5.62,Normal
2001-02-01,2001,9.12,5.33,10.79,5.22,14.41,0.97,11.22,3.81,5.89,5447.61,10.04,6.26,4.96,Normal
