customer_id,age,occupation,dependents,monthly_income,monthly_expenses,monthly_debt_payment,monthly_savings,cash_savings,existing_investments,property_value,other_assets,total_assets,total_liabilities,net_worth,emergency_fund,insurance_coverage,credit_score,risk_tolerance,investment_experience,financial_goal,goal_amount,current_goal_savings,goal_gap,time_horizon_years,preferred_investment,savings_rate,debt_to_income_ratio,risk_capacity_score,risk_willingness_score,target_risk_score,target_risk_category
C00021,46,Sales Executive,3,204983,82941,0,122042,917464,8149813,0,300724,9368001,0,9368001,162116,12835633,765,Moderately Aggressive,Intermediate,Buy House,22838413,4746248,18092165,15,Gold,59.54,0.0,96.85,72.0,85.67,Aggressive
C00022,59,Business Owner,1,343136,158069,0,185067,975121,28266373,17978622,509362,47729478,0,47729478,667183,56705934,780,Conservative,Intermediate,Child Education,2139151,461813,1677338,1,Hybrid MF,53.93,0.0,79.7,12.0,45.0,Moderately Conservative
C00023,46,Doctor,1,118542,49795,28024,40723,577269,2788946,9238188,434408,13038811,1886837,11151974,146304,24314888,698,Moderate,Intermediate,Wealth Creation,7009922,1653942,5355980,7,ETF,34.35,23.64,78.25,60.0,70.04,Moderately Aggressive
C00024,48,Software Engineer,1,213224,89281,0,123943,373855,20119739,0,94780,20588374,0,20588374,373855,21744360,791,Moderately Conservative,Beginner,Retirement,30419129,7740750,22678379,12,Gold,58.13,0.0,92.55,27.0,63.05,Moderate
C00025,49,Sales Executive,2,51875,25614,15671,10590,120488,621541,3986035,30451,4758515,2455705,2302810,35592,10977607,773,Aggressive,Beginner,Wealth Creation,2746965,435078,2311887,7,PPF,20.41,30.21,59.8,87.0,72.04,Moderately Aggressive
C00026,21,Data Scientist,0,149811,86509,36247,27055,937322,93009,0,585205,1615536,1436833,178703,139368,22636249,844,Conservative,Advanced,Retirement,26877212,65106,26812106,39,Gold,18.06,24.2,65.0,23.0,46.1,Moderately Conservative
C00027,22,Data Scientist,0,80750,37411,24303,19036,508053,85039,0,324402,917494,1112597,-195103,84871,5811523,797,Moderately Aggressive,Intermediate,Buy House,9315014,59527,9255487,20,ETF,23.57,30.1,70.0,72.0,70.9,Moderately Aggressive
C00028,26,Bank Employee,1,29922,12349,3930,13643,99195,256794,0,73378,429367,101472,327895,59335,6677542,723,Moderately Conservative,Intermediate,Wealth Creation,1917266,179755,1737511,10,Debt MF,45.6,13.13,90.05,40.0,67.53,Moderate
C00029,52,Freelancer,1,147537,77251,0,70286,861310,14092410,11127292,229434,26310446,0,26310446,534976,12237893,731,Moderate,Intermediate,Child Education,4660908,1407653,3253255,5,PPF,47.64,0.0,90.35,52.0,73.09,Moderately Aggressive
C00030,44,Government Employee,2,70389,25797,6433,38159,208198,4767334,5480624,158078,10614234,822240,9791994,151597,15911425,773,Moderate,Intermediate,Wealth Creation,7461776,2567999,4893777,20,Stocks,54.21,9.14,97.15,60.0,80.43,Moderately Aggressive
C00031,59,Software Engineer,0,185145,91272,46461,47412,1045381,6434231,10348905,750699,18579216,7933458,10645758,388809,27133121,696,Conservative,Advanced,Buy House,6657967,1309115,5348852,5,Gold,25.61,25.09,65.3,20.0,44.91,Moderately Conservative
C00032,60,Accountant,1,100938,49581,21273,30084,545367,2389574,0,176199,3111140,401309,2709831,62266,14633188,695,Moderately Conservative,Intermediate,Wealth Creation,5204132,1136482,4067650,7,Gold,29.8,21.08,71.15,40.0,57.13,Moderate
C00033,38,Bank Employee,1,79580,32682,22023,24875,225368,2719563,3614000,113428,6672359,2893951,3778408,110298,12931736,728,Moderately Conservative,Advanced,Buy House,7497006,1903694,5593312,10,ETF,31.26,27.67,72.25,40.0,57.74,Moderate
C00034,25,Accountant,0,87897,34324,12365,41208,218187,493318,0,152380,863885,302038,561847,218187,11013179,774,Moderately Aggressive,Advanced,Wealth Creation,3941585,345322,3596263,5,Debt MF,46.88,14.07,84.4,88.0,86.02,Aggressive
C00035,58,Bank Employee,0,404277,192612,49937,161728,2498483,10057065,19872094,1330459,33758101,6899817,26858284,1311339,39277867,732,Conservative,Beginner,Wealth Creation,30998274,7039945,23958329,10,Stocks,40.0,12.35,85.25,12.0,52.29,Moderate
C00036,46,Doctor,3,74727,28881,9561,36285,306963,2996225,4397715,183626,7884529,1648503,6236026,176982,7374752,747,Moderate,Beginner,Wealth Creation,2683655,694784,1988871,5,Gold,48.56,12.79,84.25,52.0,69.74,Moderately Aggressive
C00037,32,Bank Employee,0,98807,45644,23473,29690,414573,978012,7907628,116947,9417160,4084970,5332190,188146,9221057,812,Moderate,Intermediate,Emergency Fund,526447,153878,372569,1,ETF,30.05,23.76,68.75,43.0,45.0,Moderately Conservative
C00038,56,Business Owner,0,253553,106695,75961,70897,1422372,16669604,0,1005232,19097208,1784142,17313066,725782,16902191,745,Moderate,Intermediate,Wealth Creation,16307007,4951922,11355085,10,Bonds,27.96,29.96,74.55,60.0,68.0,Moderate
C00039,22,Business Owner,0,79002,38754,0,40248,87399,344033,0,45216,476648,0,476648,87399,16099105,791,Moderate,Advanced,Retirement,13206350,240823,12965527,38,Equity MF,50.95,0.0,91.0,63.0,78.4,Moderately Aggressive
C00040,57,Data Scientist,1,100025,35942,11310,52773,79593,6681368,5446129,48375,12255465,974814,11280651,79593,20159248,728,Moderate,Beginner,Retirement,13160798,4676957,8483841,3,ETF,52.76,11.31,73.8,47.0,61.74,Moderate
C00041,65,Government Employee,0,253261,110162,67420,75679,506292,17905092,15499956,180310,34091650,8213761,25877889,488932,60615599,719,Moderate,Advanced,Retirement,27245451,9896160,17349291,1,ETF,29.88,26.62,57.8,63.0,45.0,Moderately Conservative
C00042,56,Teacher,0,116839,38295,6002,72542,99008,14525101,0,26304,14650413,265296,14385117,99008,8304105,731,Moderate,Advanced,Retirement,11987864,3444181,8543683,4,Gold,62.09,5.14,77.95,63.0,71.22,Moderately Aggressive
C00043,41,Business Owner,3,201953,98336,43828,59789,383831,8912068,0,83501,9379400,1828916,7550484,187043,24299266,768,Moderate,Intermediate,Wealth Creation,29226012,1526622,27699390,20,Hybrid MF,29.61,21.7,67.6,60.0,64.18,Moderate
C00044,30,Freelancer,2,47480,19949,14719,12812,191340,557336,3845261,117240,4711177,1002959,3708218,61976,8901121,748,Conservative,Beginner,Buy House,4221727,390135,3831592,10,Equity MF,26.98,31.0,75.45,4.0,43.3,Moderately Conservative
C00045,46,Teacher,2,48180,26149,21186,845,348609,64276,0,179957,592842,884158,-291316,80764,10175157,690,Aggressive,Intermediate,Wealth Creation,3577546,44993,3532553,15,Gold,1.75,43.97,51.85,95.0,71.27,Moderately Aggressive
C00046,59,Designer,2,133965,63328,32557,38080,484990,7435973,6132604,123526,14177093,2553737,11623356,264448,20826706,702,Moderately Aggressive,Beginner,Child Education,1415996,465562,950434,2,PPF,28.43,24.3,58.7,64.0,45.0,Moderately Conservative
C00047,37,Software Engineer,1,105411,60473,14103,30835,129378,1395332,6223155,72453,7820318,1339778,6480540,129378,22644605,739,Moderate,Intermediate,Wealth Creation,3142204,976732,2165472,5,Debt MF,29.25,13.38,66.6,60.0,63.63,Moderate
C00048,25,Sales Executive,0,100327,52910,42101,5316,190083,72369,0,116649,379101,1718610,-1339509,127039,9044164,548,Moderate,Beginner,Buy House,4662104,50658,4611446,5,Gold,5.3,41.96,40.4,44.0,42.02,Moderately Conservative
C00049,40,Government Employee,3,137700,65731,26456,45513,195849,3139633,6011726,141612,9488820,2283303,7205517,195849,16612299,778,Conservative,Beginner,Child Education,3505123,1057567,2447556,5,FD,33.05,19.21,71.15,4.0,40.93,Moderately Conservative
C00050,28,Data Scientist,2,71860,35436,11848,24576,228649,832324,0,51232,1112205,511989,600216,178977,9985002,673,Moderate,Intermediate,Retirement,14405470,582626,13822844,32,Bonds,34.2,16.49,80.55,55.0,69.05,Moderately Aggressive
C00051,65,Business Owner,0,184864,55368,27853,101643,385160,13921175,7519321,170630,21996286,3652926,18343360,279935,33140907,711,Moderately Aggressive,Beginner,Buy House,11540752,613513,10927239,7,Stocks,54.98,15.07,84.4,64.0,75.22,Moderately Aggressive
C00052,42,Freelancer,2,78815,40819,13504,24492,546280,2051467,4272499,307732,7177978,1388317,5789661,193260,15819924,713,Moderately Conservative,Intermediate,Retirement,10755933,1436026,9319907,18,Debt MF,31.08,17.13,85.45,35.0,62.75,Moderate
C00053,22,Sales Executive,1,103744,49303,5325,49116,476732,443017,0,225419,1145168,162739,982429,218014,18677609,740,Moderate,Beginner,Wealth Creation,6040536,310111,5730425,7,Hybrid MF,47.34,5.13,94.4,52.0,75.32,Moderately Aggressive
C00054,26,Government Employee,0,99941,37904,25734,36303,437644,570485,0,245240,1253369,1180457,72912,257287,17994864,738,Aggressive,Intermediate,Retirement,9480720,399339,9081381,34,Bonds,36.32,25.75,74.85,90.0,81.67,Moderately Aggressive
C00055,34,Designer,1,196058,111556,52035,32467,1317923,1218037,7112281,520252,10168493,5410359,4758134,420924,36306823,702,Moderate,Intermediate,Retirement,37184747,852625,36332122,26,Equity MF,16.56,26.54,66.65,55.0,61.41,Moderate
C00056,42,Doctor,2,158142,96324,39797,22021,795136,3232296,12499905,193033,16720370,6946932,9773438,537762,20307553,746,Conservative,Beginner,Retirement,32945993,2262607,30683386,18,Gold,13.92,25.17,68.45,7.0,40.8,Moderately Conservative
C00057,30,Business Owner,2,52551,27613,0,24938,280918,486048,3680368,74197,4521531,0,4521531,137269,5579933,792,Aggressive,Advanced,Retirement,8793001,340233,8452768,30,FD,47.45,0.0,99.25,98.0,98.69,Aggressive
C00058,24,Software Engineer,0,346528,183792,69406,93330,1033779,802668,0,734711,2571158,2510504,60654,1033779,68611887,759,Conservative,Beginner,Retirement,72550694,561867,71988827,36,PPF,26.93,20.03,66.0,7.0,39.45,Moderately Conservative
C00059,27,Software Engineer,0,203020,113306,17629,72085,776352,1948881,0,489535,3214768,650998,2563770,776352,16873189,685,Moderate,Beginner,Child Education,3806814,1364216,2442598,5,FD,35.51,8.68,86.1,44.0,67.16,Moderate
C00060,27,Business Owner,0,89863,38187,12362,39314,383162,1096669,0,228787,1708618,396575,1312043,233496,12916638,677,Moderately Aggressive,Beginner,Buy House,14579415,767668,13811747,20,Hybrid MF,43.75,13.76,92.7,64.0,79.79,Moderately Aggressive
C00061,40,Software Engineer,2,108990,58930,21338,28722,486260,3659632,7874852,134513,12155257,3395475,8759782,381524,20443695,683,Conservative,Beginner,Retirement,18857069,2561742,16295327,20,Bonds,26.35,19.58,80.75,7.0,47.56,Moderately Conservative
C00062,28,Sales Executive,2,91766,38601,17005,36160,327212,1029967,0,197826,1555005,530034,1024971,233534,7839573,718,Conservative,Beginner,Child Education,1370828,234596,1136232,3,PPF,39.4,18.53,76.15,4.0,43.68,Moderately Conservative
C00063,64,Freelancer,1,170883,90140,25501,55242,208200,4480792,0,110287,4799279,1192671,3606608,208200,19844113,761,Conservative,Intermediate,Retirement,21968419,3136554,18831865,1,Debt MF,32.33,14.92,61.95,15.0,40.82,Moderately Conservative
C00064,33,Accountant,1,72173,27713,5062,39398,143682,1980434,0,82018,2206134,176131,2030003,72116,7352710,794,Moderately Conservative,Beginner,Wealth Creation,2741987,987969,1754018,7,Hybrid MF,54.59,7.01,89.2,32.0,63.46,Moderate
C00065,36,Doctor,2,241231,111014,20991,109226,508713,4633184,19984044,346394,25472335,3676556,21795779,490124,19238779,636,Moderately Conservative,Intermediate,Retirement,30122531,2847179,27275352,24,Hybrid MF,45.28,8.7,94.35,35.0,67.64,Moderate
C00066,56,Business Owner,1,255062,124304,0,130758,1654980,30836148,12602524,1254791,46348443,0,46348443,344497,51168160,755,Moderate,Advanced,Retirement,46452483,12304182,34148301,4,ETF,51.27,0.0,86.95,63.0,76.17,Moderately Aggressive
C00067,23,Sales Executive,0,79212,43774,0,35438,474952,218668,0,179494,873114,0,873114,150929,15797853,766,Moderate,Intermediate,Wealth Creation,2717268,153067,2564201,7,PPF,44.74,0.0,94.4,60.0,78.92,Moderately Aggressive
C00068,63,Business Owner,1,126777,64855,7774,54148,751317,13055043,0,421585,14227945,256287,13971658,404469,26131092,702,Moderately Aggressive,Intermediate,Wealth Creation,4175021,840126,3334895,5,Equity MF,42.71,6.13,88.7,80.0,84.78,Aggressive
C00069,36,Freelancer,3,79402,32852,22118,24432,165143,2804960,6067577,105211,9142891,3387895,5754996,165143,7299995,772,Moderate,Intermediate,Travel,1698156,163201,1534955,7,Debt MF,30.77,27.86,69.75,55.0,63.11,Moderate
C00070,49,Bank Employee,2,223513,80225,52748,90540,773007,19480833,12998344,158929,33411113,4726298,28684815,488187,53313615,783,Conservative,Beginner,Retirement,28605654,8769777,19835877,11,Bonds,40.51,23.6,85.6,7.0,50.23,Moderate
C00071,43,Doctor,2,182607,102757,16471,63379,1286498,7190267,10505985,814665,19797415,2739843,17057572,529333,23825579,765,Conservative,Intermediate,Child Education,9233889,3028429,6205460,10,PPF,34.71,9.02,89.5,12.0,54.62,Moderate
C00072,23,Sales Executive,0,59046,22421,7253,29372,178898,123604,0,42064,344566,174308,170258,145608,11064191,815,Conservative,Intermediate,Retirement,8844101,86522,8757579,37,Hybrid MF,49.74,12.28,87.0,15.0,54.6,Moderate
C00073,33,Software Engineer,2,186818,88393,59334,39091,961701,3501647,11796883,757616,17017847,4736947,12280900,521674,30908258,696,Aggressive,Intermediate,Child Education,2327019,300044,2026975,2,Gold,20.92,31.76,66.6,87.0,45.0,Moderately Conservative
C00074,33,Teacher,1,109341,51185,5674,52482,240706,1088819,8778541,116317,10224383,349565,9874818,152491,7438149,745,Moderately Aggressive,Beginner,Wealth Creation,4672962,762173,3910789,7,FD,48.0,5.19,89.2,72.0,81.46,Moderately Aggressive
C00075,36,Bank Employee,1,77906,46148,44090,0,402503,10000,4370688,143329,4926520,6512027,-1585507,363142,8271701,679,Moderately Conservative,Intermediate,Wealth Creation,7374290,7000,7367290,10,ETF,0.0,56.59,40.55,40.0,40.3,Moderately Conservative
C00076,32,Software Engineer,0,92914,33400,6343,53171,284650,2051132,5506587,85242,7927611,1100407,6827204,232124,16763917,846,Moderate,Intermediate,Retirement,8452783,1435792,7016991,28,FD,57.23,6.83,98.95,55.0,79.17,Moderately Aggressive
C00077,53,Teacher,0,89965,45650,25821,18494,568202,3003157,7492240,376835,11440434,1633438,9806996,66486,12910665,701,Moderately Aggressive,Advanced,Buy House,9403337,1778015,7625322,15,Hybrid MF,20.56,28.7,77.8,80.0,78.79,Moderately Aggressive
C00078,23,Teacher,0,116050,42195,19827,54028,168459,299232,0,70392,538083,878310,-340227,92068,17554790,684,Moderately Aggressive,Intermediate,Wealth Creation,15210346,209462,15000884,15,ETF,46.56,17.08,80.0,80.0,80.0,Moderately Aggressive
C00079,53,Data Scientist,2,229361,95473,73214,60674,942662,9403519,0,241150,10587331,955963,9631368,645465,22421306,752,Moderately Aggressive,Intermediate,Travel,1323310,417972,905338,2,Stocks,26.45,31.92,66.6,75.0,45.0,Moderately Conservative
C00080,65,Consultant,1,151851,59923,0,91928,636917,10429134,0,410048,11476099,0,11476099,140149,25887548,796,Moderate,Intermediate,Buy House,13438721,1866520,11572201,10,Equity MF,60.54,0.0,91.2,52.0,73.56,Moderately Aggressive
C00081,21,Government Employee,0,41547,20279,2845,18423,139918,134868,0,103842,378628,57979,320649,134891,2934751,716,Moderately Aggressive,Advanced,Buy House,2215597,94407,2121190,10,Debt MF,44.34,6.85,97.2,80.0,89.46,Aggressive
C00082,36,Designer,2,110616,52345,31166,27105,676781,1736162,0,142668,2555611,1454242,1101369,318608,12704822,736,Moderately Conservative,Advanced,Retirement,20298032,1215313,19082719,24,Hybrid MF,24.5,28.17,71.35,43.0,58.59,Moderate
C00083,23,Business Owner,0,46242,22652,0,23590,276969,180177,0,153976,611122,0,611122,164139,4317126,722,Conservative,Beginner,Wealth Creation,5269835,126123,5143712,15,Equity MF,51.01,0.0,100.0,12.0,60.4,Moderate
C00084,56,Sales Executive,0,172196,79695,28621,63880,575011,10382917,13576125,267971,24802024,3802321,20999703,431879,28671579,760,Conservative,Intermediate,Wealth Creation,17165326,3788103,13377223,15,FD,37.1,16.62,86.35,20.0,56.49,Moderate
C00085,45,Data Scientist,2,171034,92165,74400,4469,1258825,331552,7767114,713084,10070575,6969939,3100636,225707,26165306,631,Conservative,Beginner,Wealth Creation,15822933,232086,15590847,15,ETF,2.61,43.5,55.0,12.0,35.65,Moderately Conservative
C00086,36,Doctor,2,107866,47964,0,59902,121744,4544551,0,36416,4702711,0,4702711,121744,20642840,763,Aggressive,Advanced,Buy House,14144066,714951,13429115,15,Equity MF,55.53,0.0,89.35,95.0,91.89,Aggressive
C00087,44,Software Engineer,2,175464,74538,28620,72306,212589,6344824,14248174,127796,20933383,4048024,16885359,212589,29277737,704,Conservative,Beginner,Buy House,14804439,4045416,10759023,15,Debt MF,41.21,16.31,81.15,4.0,46.43,Moderately Conservative
C00088,49,Sales Executive,3,147653,81366,25984,40303,228525,6258024,0,101085,6587634,384410,6203224,228525,31762175,709,Moderate,Intermediate,Wealth Creation,20375779,4092369,16283410,15,Gold,27.3,17.6,73.4,60.0,67.37,Moderate
C00089,31,Sales Executive,1,182324,100286,0,82038,616812,3564701,12215612,359071,16756196,0,16756196,339390,13292903,745,Moderately Aggressive,Intermediate,Retirement,35253329,2495290,32758039,29,Debt MF,45.0,0.0,95.1,75.0,86.06,Aggressive
C00090,42,Sales Executive,1,67397,37544,0,29853,133678,3590885,3638802,64754,7428119,0,7428119,133678,16112899,709,Conservative,Intermediate,Wealth Creation,9608645,2087549,7521096,15,Hybrid MF,44.29,0.0,93.45,20.0,60.4,Moderate
C00091,39,Doctor,2,122397,67111,33571,21715,267296,1974284,0,77599,2319179,1389948,929231,164500,24580977,762,Moderate,Intermediate,Retirement,24853800,1381998,23471802,21,Debt MF,17.74,27.43,61.900000000000006,55.0,58.8,Moderate
C00092,34,Software Engineer,1,67776,30424,17854,19498,350804,575846,0,268865,1195515,309885,885630,128959,16034292,758,Moderately Conservative,Intermediate,Emergency Fund,3160606,403092,2757514,10,FD,28.77,26.34,74.85,23.0,51.52,Moderate
C00093,36,Freelancer,3,182262,97263,32561,52438,263938,3176613,9172312,90855,12703718,3172349,9531369,263938,11945854,671,Conservative,Advanced,Wealth Creation,18031680,2223629,15808051,20,FD,28.77,17.86,72.35,28.0,52.39,Moderate
C00094,39,Freelancer,2,82642,35961,6136,40545,90979,1451549,3248939,18505,4809972,1058158,3751814,90979,16995572,745,Moderate,Advanced,Child Education,478443,92167,386276,2,ETF,49.06,7.42,74.7,60.0,45.0,Moderately Conservative
C00095,34,Software Engineer,0,141217,78107,34021,29089,224543,850283,6659009,82767,7816602,5321494,2495108,224543,18770349,748,Aggressive,Advanced,Retirement,27750315,595198,27155117,26,PPF,20.6,24.09,62.650000000000006,98.0,78.56,Moderately Aggressive
C00096,22,Doctor,0,77205,37653,14830,24722,181330,96300,0,67814,345444,478688,-133244,69269,17372862,783,Conservative,Intermediate,Retirement,14014714,67410,13947304,38,Bonds,32.02,19.21,75.0,15.0,48.0,Moderately Conservative
C00097,50,Business Owner,0,139834,65204,0,74630,710126,6389812,7451925,257233,14809096,0,14809096,449841,16277044,765,Moderately Aggressive,Intermediate,Emergency Fund,3805036,344766,3460270,5,Gold,53.37,0.0,90.65,63.0,78.21,Moderately Aggressive
C00098,22,Sales Executive,1,91828,43129,21354,27345,225461,185802,0,130903,542166,1024581,-482415,74770,13750576,725,Moderate,Intermediate,Emergency Fund,977230,130061,847169,2,Gold,29.78,23.25,54.8,43.0,45.0,Moderately Conservative
C00099,21,Designer,0,27608,13062,7001,7545,87996,26098,0,24237,138331,269786,-131455,87996,1915877,726,Moderately Aggressive,Intermediate,Retirement,3923250,18268,3904982,39,Equity MF,27.33,25.36,70.0,75.0,72.25,Moderately Aggressive
C00100,22,Software Engineer,0,147763,74862,0,72901,592485,295226,0,307240,1194951,0,1194951,386731,9129727,720,Moderately Aggressive,Intermediate,Travel,3086156,206658,2879498,5,Debt MF,49.34,0.0,94.4,75.0,85.67,Aggressive
C00101,25,Designer,0,72673,30494,8014,34165,269804,592369,0,161290,1023463,254378,769085,218178,13197737,688,Moderately Aggressive,Intermediate,Child Education,1994390,311165,1683225,7,FD,47.01,11.03,87.4,72.0,80.47,Moderately Aggressive
C00102,22,Doctor,0,224620,98984,0,125636,465677,395018,0,132476,993171,0,993171,465677,45067292,768,Moderate,Intermediate,Wealth Creation,22450304,276512,22173792,15,PPF,55.93,0.0,96.0,60.0,79.8,Moderately Aggressive
C00103,29,Accountant,2,76241,26734,0,49507,197085,1330808,0,152693,1680586,0,1680586,125853,7894053,765,Moderate,Intermediate,Buy House,3962586,448199,3514387,7,PPF,64.93,0.0,93.8,52.0,74.99,Moderately Aggressive
C00104,36,Sales Executive,3,151622,89162,0,62460,711408,4414245,0,365324,5490977,0,5490977,225920,21623332,780,Moderately Aggressive,Advanced,Wealth Creation,5166790,1758191,3408599,7,Debt MF,41.19,0.0,88.75,88.0,88.41,Aggressive
C00105,49,Accountant,2,162216,63879,28180,70157,863772,14107124,0,485300,15456196,1185664,14270532,414635,20740515,727,Moderately Conservative,Intermediate,Child Education,2393629,550868,1842761,5,PPF,43.25,17.37,86.8,32.0,62.14,Moderate
C00106,53,Business Owner,0,292944,94450,17227,181267,692543,12341574,24501024,299035,37834176,2219887,35614289,369226,62253207,681,Conservative,Advanced,Emergency Fund,2465986,772150,1693836,2,Hybrid MF,61.88,5.88,80.6,11.0,45.0,Moderately Conservative
C00107,28,Data Scientist,0,73243,33870,6506,32867,435063,1123997,0,191673,1750733,256804,1493929,229033,16113440,808,Moderately Conservative,Intermediate,Wealth Creation,5603274,344508,5258766,10,ETF,44.87,8.88,96.75,40.0,71.21,Moderately Aggressive
C00108,44,Accountant,2,110300,50725,19312,40263,277990,3118516,6865251,144336,10406093,2527008,7879085,72502,13808647,769,Moderately Conservative,Intermediate,Wealth Creation,15221208,2182961,13038247,20,FD,36.5,17.51,81.15,40.0,62.63,Moderate
C00109,22,Doctor,0,152569,74613,18809,59147,450929,248494,0,199964,899387,375006,524381,450929,24051706,795,Moderately Conservative,Beginner,Retirement,29021276,173945,28847331,38,FD,38.77,12.33,85.0,27.0,58.9,Moderate
C00110,52,Sales Executive,2,66515,34041,20080,12394,352886,2775482,5335017,217645,8681030,2961352,5719678,239370,7272276,750,Moderately Conservative,Advanced,Wealth Creation,5542528,507729,5034799,15,Debt MF,18.63,30.19,66.95,48.0,58.42,Moderate
